j0,j1,variable,beta_true,active
151,152,x152,0.0,0
152,153,x153,0.0,0
153,154,x154,0.0,0
154,155,x155,0.0,0
155,156,x156,0.0,0
156,157,x157,0.0,0
157,158,x158,0.0,0
158,159,x159,0.0,0
159,160,x160,0.0,0
160,161,x161,0.0,0
161,162,x162,0.0,0
162,163,x163,0.0,0
163,164,x164,0.0,0
164,165,x165,0.0,0
165,166,x166,0.0,0
166,167,x167,0.0,0
167,168,x168,0.0,0
168,169,x169,0.0,0
169,170,x170,0.0,0
170,171,x171,0.0,0
171,172,x172,0.0,0
172,173,x173,0.7218739,1
173,174,x174,0.0,0
174,175,x175,0.0,0
175,176,x176,0.0,0
176,177,x177,0.0,0
177,178,x178,0.0,0
178,179,x179,0.0,0
179,180,x180,0.0,0
180,181,x181,0.0,0
181,182,x182,0.0,0
182,183,x183,0.0,0
183,184,x184,0.0,0
184,185,x185,0.0,0
185,186,x186,0.0,0
186,187,x187,0.0,0
187,188,x188,0.0,0
188,189,x189,0.0,0
189,190,x190,0.0,0
190,191,x191,0.0,0
191,192,x192,0.0,0
192,193,x193,0.0,0
193,194,x194,0.0,0
194,195,x195,0.0,0
195,196,x196,0.0,0
196,197,x197,0.0,0
197,198,x198,0.0,0
198,199,x199,0.0,0
199,200,x200,0.0,0
200,201,x201,0.0,0
201,202,x202,0.0,0
202,203,x203,0.0,0
203,204,x204,0.0,0
204,205,x205,0.0,0
205,206,x206,0.0,0
206,207,x207,0.0,0
207,208,x208,0.0,0
208,209,x209,0.0,0
209,210,x210,0.0,0
210,211,x211,0.0,0
211,212,x212,0.0,0
212,213,x213,0.0,0
213,214,x214,0.0,0
214,215,x215,0.0,0
215,216,x216,0.0,0
216,217,x217,0.0,0
217,218,x218,0.0,0
218,219,x219,0.0,0
219,220,x220,0.0,0
220,221,x221,0.0,0
221,222,x222,0.0,0
222,223,x223,0.0,0
223,224,x224,0.0,0
224,225,x225,0.0,0
225,226,x226,0.0,0
226,227,x227,0.0,0
227,228,x228,0.0,0
228,229,x229,0.0,0
229,230,x230,0.0,0
230,231,x231,0.0,0
231,232,x232,0.0,0
232,233,x233,0.0,0
233,234,x234,0.0,0
234,235,x235,0.0,0
235,236,x236,0.0,0
236,237,x237,0.0,0
237,238,x238,0.0,0
238,239,x239,0.0,0
239,240,x240,0.0,0
240,241,x241,0.0,0
241,242,x242,0.0,0
242,243,x243,0.0,0
243,244,x244,0.0,0
244,245,x245,0.0,0
245,246,x246,0.0,0
246,247,x247,0.0,0
247,248,x248,0.0,0
248,249,x249,0.0,0
249,250,x250,0.0,0
250,251,x251,0.0,0
251,252,x252,0.0,0
252,253,x253,0.0,0
253,254,x254,0.0,0
254,255,x255,0.0,0
255,256,x256,0.0,0
256,257,x257,0.0,0
257,258,x258,0.0,0
258,259,x259,0.0,0
259,260,x260,0.0,0
260,261,x261,0.0,0
261,262,x262,0.0,0
262,263,x263,0.0,0
263,264,x264,0.0,0
264,265,x265,0.0,0
265,266,x266,0.0,0
266,267,x267,0.0,0
267,268,x268,0.0,0
268,269,x269,0.0,0
269,270,x270,0.0,0
270,271,x271,0.0,0
271,272,x272,0.0,0
272,273,x273,0.0,0
273,274,x274,0.0,0
274,275,x275,0.0,0
275,276,x276,0.0,0
276,277,x277,0.0,0
277,278,x278,0.0,0
278,279,x279,0.0,0
279,280,x280,0.0,0
280,281,x281,0.0,0
281,282,x282,0.0,0
282,283,x283,0.0,0
283,284,x284,0.0,0
284,285,x285,0.0,0
285,286,x286,0.0,0
286,287,x287,0.0,0
287,288,x288,0.0,0
288,289,x289,-1.1083155,1
289,290,x290,0.0,0
290,291,x291,0.0,0
291,292,x292,0.0,0
292,293,x293,0.0,0
293,294,x294,0.0,0
294,295,x295,0.0,0
295,296,x296,0.0,0
296,297,x297,0.0,0
297,298,x298,0.0,0
298,299,x299,0.0,0
299,300,x300,0.0,0
300,301,x301,0.0,0
301,302,x302,0.0,0
302,303,x303,0.0,0
303,304,x304,0.0,0
304,305,x305,0.0,0
305,306,x306,0.0,0
306,307,x307,0.0,0
307,308,x308,0.0,0
308,309,x309,0.0,0
309,310,x310,0.0,0
310,311,x311,0.0,0
311,312,x312,0.0,0
312,313,x313,0.0,0
313,314,x314,0.0,0
314,315,x315,0.0,0
315,316,x316,0.0,0
316,317,x317,0.0,0
317,318,x318,0.0,0
318,319,x319,0.0,0
319,320,x320,0.0,0
320,321,x321,0.0,0
321,322,x322,0.0,0
322,323,x323,0.0,0
323,324,x324,0.0,0
324,325,x325,0.0,0
325,326,x326,0.0,0
326,327,x327,0.0,0
327,328,x328,0.0,0
328,329,x329,0.0,0
329,330,x330,0.0,0
330,331,x331,0.0,0
331,332,x332,0.0,0
332,333,x333,0.0,0
333,334,x334,0.0,0
334,335,x335,0.0,0
335,336,x336,0.0,0
336,337,x337,0.0,0
337,338,x338,0.0,0
338,339,x339,0.0,0
339,340,x340,0.0,0
340,341,x341,0.0,0
341,342,x342,0.0,0
342,343,x343,0.0,0
343,344,x344,-1.1362375,1
344,345,x345,0.0,0
345,346,x346,0.0,0
346,347,x347,0.0,0
347,348,x348,0.0,0
348,349,x349,0.0,0
349,350,x350,0.0,0
350,351,x351,0.0,0
351,352,x352,0.0,0
352,353,x353,0.0,0
353,354,x354,0.0,0
354,355,x355,0.0,0
355,356,x356,0.0,0
356,357,x357,0.0,0
357,358,x358,0.0,0
358,359,x359,1.0941988,1
359,360,x360,-1.9401509,1
360,361,x361,0.0,0
361,362,x362,0.0,0
362,363,x363,0.0,0
363,364,x364,0.0,0
364,365,x365,0.0,0
365,366,x366,0.0,0
366,367,x367,0.0,0
367,368,x368,0.0,0
368,369,x369,0.0,0
369,370,x370,0.0,0
370,371,x371,0.0,0
371,372,x372,0.0,0
372,373,x373,0.0,0
373,374,x374,0.0,0
374,375,x375,0.0,0
375,376,x376,0.0,0
376,377,x377,0.0,0
377,378,x378,0.0,0
378,379,x379,0.0,0
379,380,x380,0.0,0
380,381,x381,0.0,0
381,382,x382,0.0,0
382,383,x383,0.0,0
383,384,x384,0.0,0
384,385,x385,0.0,0
385,386,x386,0.0,0
386,387,x387,0.0,0
387,388,x388,0.0,0
388,389,x389,0.0,0
389,390,x390,0.0,0
390,391,x391,0.0,0
391,392,x392,0.0,0
392,393,x393,0.0,0
393,394,x394,0.0,0
394,395,x395,0.0,0
395,396,x396,0.0,0
396,397,x397,0.0,0
397,398,x398,0.0,0
398,399,x399,0.0,0
399,400,x400,0.0,0
400,401,x401,0.0,0
401,402,x402,0.0,0
402,403,x403,0.0,0
403,404,x404,0.0,0
404,405,x405,0.0,0
405,406,x406,0.0,0
406,407,x407,0.0,0
407,408,x408,0.0,0
408,409,x409,0.0,0
409,410,x410,0.0,0
410,411,x411,0.0,0
411,412,x412,0.0,0
412,413,x413,0.0,0
413,414,x414,0.0,0
414,415,x415,0.0,0
415,416,x416,0.0,0
416,417,x417,0.0,0
417,418,x418,0.0,0
418,419,x419,0.0,0
419,420,x420,0.0,0
420,421,x421,0.0,0
421,422,x422,0.0,0
422,423,x423,0.0,0
423,424,x424,0.0,0
424,425,x425,0.0,0
425,426,x426,0.0,0
426,427,x427,0.0,0
427,428,x428,0.0,0
428,429,x429,0.0,0
429,430,x430,0.0,0
430,431,x431,0.0,0
431,432,x432,0.0,0
432,433,x433,0.0,0
433,434,x434,0.0,0
434,435,x435,0.0,0
435,436,x436,0.0,0
436,437,x437,0.0,0
437,438,x438,0.0,0
438,439,x439,0.0,0
439,440,x440,0.0,0
440,441,x441,0.0,0
441,442,x442,0.0,0
442,443,x443,0.0,0
443,444,x444,0.0,0
444,445,x445,0.0,0
445,446,x446,0.0,0
446,447,x447,0.0,0
447,448,x448,0.0,0
448,449,x449,0.0,0
449,450,x450,0.0,0
450,451,x451,0.0,0
451,452,x452,0.0,0
452,453,x453,0.0,0
453,454,x454,0.0,0
454,455,x455,0.0,0
455,456,x456,0.0,0
456,457,x457,0.0,0
457,458,x458,0.0,0
458,459,x459,0.0,0
459,460,x460,0.0,0
460,461,x461,0.0,0
461,462,x462,0.0,0
462,463,x463,0.0,0
463,464,x464,0.0,0
464,465,x465,0.0,0
465,466,x466,0.0,0
466,467,x467,0.0,0
467,468,x468,0.0,0
468,469,x469,0.0,0
469,470,x470,0.0,0
470,471,x471,0.0,0
471,472,x472,0.0,0
472,473,x473,0.0,0
473,474,x474,0.0,0
474,475,x475,0.0,0
475,476,x476,0.0,0
476,477,x477,0.0,0
477,478,x478,0.0,0
478,479,x479,0.0,0
479,480,x480,0.0,0
480,481,x481,0.0,0
481,482,x482,0.0,0
482,483,x483,0.0,0
483,484,x484,0.0,0
484,485,x485,0.0,0
485,486,x486,0.0,0
486,487,x487,0.0,0
487,488,x488,0.0,0
488,489,x489,0.90966,1
489,490,x490,0.0,0
490,491,x491,0.0,0
491,492,x492,0.0,0
492,493,x493,0.0,0
493,494,x494,0.0,0
494,495,x495,0.0,0
495,496,x496,0.0,0
496,497,x497,0.0,0
497,498,x498,0.0,0
498,499,x499,0.0,0
499,500,x500,0.0,0
