setting,seed,n,p,n_active,sigma2,data_path,beta_path,out_dir,last_out_dir,active_idx,beta_value
simple,411,100,500,10,1.0,data/n100p500_input/simple/seed_411.csv,data/n100p500_input/simple/beta_true/seed_411_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_411,outputs_lastflow/n100p500_input/simple/seed_411,64;152;175;295;308;315;359;469;493;496,-0.25744110345840454
simple,412,100,500,10,1.0,data/n100p500_input/simple/seed_412.csv,data/n100p500_input/simple/beta_true/seed_412_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_412,outputs_lastflow/n100p500_input/simple/seed_412,14;42;89;173;262;264;339;347;427;499,-0.4955359399318695
simple,413,100,500,10,1.0,data/n100p500_input/simple/seed_413.csv,data/n100p500_input/simple/beta_true/seed_413_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_413,outputs_lastflow/n100p500_input/simple/seed_413,48;176;208;234;245;299;348;373;396;416,-0.032480619847774506
simple,414,100,500,10,1.0,data/n100p500_input/simple/seed_414.csv,data/n100p500_input/simple/beta_true/seed_414_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_414,outputs_lastflow/n100p500_input/simple/seed_414,101;107;139;207;287;291;342;344;425;481,-0.8715320825576782
simple,415,100,500,10,1.0,data/n100p500_input/simple/seed_415.csv,data/n100p500_input/simple/beta_true/seed_415_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_415,outputs_lastflow/n100p500_input/simple/seed_415,97;119;201;247;299;330;374;388;440;445,0.022939592599868774
simple,416,100,500,10,1.0,data/n100p500_input/simple/seed_416.csv,data/n100p500_input/simple/beta_true/seed_416_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_416,outputs_lastflow/n100p500_input/simple/seed_416,56;94;176;240;255;308;335;356;366;414,-0.06173473596572876
simple,417,100,500,10,1.0,data/n100p500_input/simple/seed_417.csv,data/n100p500_input/simple/beta_true/seed_417_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_417,outputs_lastflow/n100p500_input/simple/seed_417,123;161;191;221;330;361;453;463;470;482,-1.0471980571746826
simple,418,100,500,10,1.0,data/n100p500_input/simple/seed_418.csv,data/n100p500_input/simple/beta_true/seed_418_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_418,outputs_lastflow/n100p500_input/simple/seed_418,9;14;40;70;189;206;274;442;464;469,0.12037599086761475
simple,419,100,500,10,1.0,data/n100p500_input/simple/seed_419.csv,data/n100p500_input/simple/beta_true/seed_419_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_419,outputs_lastflow/n100p500_input/simple/seed_419,16;62;120;149;162;201;278;289;379;462,-0.026800334453582764
simple,420,100,500,10,1.0,data/n100p500_input/simple/seed_420.csv,data/n100p500_input/simple/beta_true/seed_420_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_420,outputs_lastflow/n100p500_input/simple/seed_420,8;19;56;148;185;305;372;388;408;478,-0.11063992977142334
simple,421,100,500,10,1.0,data/n100p500_input/simple/seed_421.csv,data/n100p500_input/simple/beta_true/seed_421_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_421,outputs_lastflow/n100p500_input/simple/seed_421,14;103;119;225;273;332;365;395;403;414,0.36020851135253906
simple,422,100,500,10,1.0,data/n100p500_input/simple/seed_422.csv,data/n100p500_input/simple/beta_true/seed_422_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_422,outputs_lastflow/n100p500_input/simple/seed_422,94;105;166;268;404;419;434;442;465;478,0.19006037712097168
simple,423,100,500,10,1.0,data/n100p500_input/simple/seed_423.csv,data/n100p500_input/simple/beta_true/seed_423_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_423,outputs_lastflow/n100p500_input/simple/seed_423,94;122;179;205;280;292;333;348;406;478,0.5285180807113647
simple,424,100,500,10,1.0,data/n100p500_input/simple/seed_424.csv,data/n100p500_input/simple/beta_true/seed_424_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_424,outputs_lastflow/n100p500_input/simple/seed_424,69;78;79;117;232;241;256;384;429;448,0.583081066608429
simple,425,100,500,10,1.0,data/n100p500_input/simple/seed_425.csv,data/n100p500_input/simple/beta_true/seed_425_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_425,outputs_lastflow/n100p500_input/simple/seed_425,44;45;78;188;190;277;288;296;316;441,0.5762144923210144
simple,426,100,500,10,1.0,data/n100p500_input/simple/seed_426.csv,data/n100p500_input/simple/beta_true/seed_426_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_426,outputs_lastflow/n100p500_input/simple/seed_426,31;49;75;113;121;124;130;374;380;409,0.5323755145072937
simple,427,100,500,10,1.0,data/n100p500_input/simple/seed_427.csv,data/n100p500_input/simple/beta_true/seed_427_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_427,outputs_lastflow/n100p500_input/simple/seed_427,66;117;187;301;316;346;347;415;483;498,0.719029426574707
simple,428,100,500,10,1.0,data/n100p500_input/simple/seed_428.csv,data/n100p500_input/simple/beta_true/seed_428_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_428,outputs_lastflow/n100p500_input/simple/seed_428,19;34;81;129;161;235;318;455;496;499,0.1270393431186676
simple,429,100,500,10,1.0,data/n100p500_input/simple/seed_429.csv,data/n100p500_input/simple/beta_true/seed_429_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_429,outputs_lastflow/n100p500_input/simple/seed_429,38;60;116;120;180;282;297;388;422;458,-0.08944964408874512
simple,430,100,500,10,1.0,data/n100p500_input/simple/seed_430.csv,data/n100p500_input/simple/beta_true/seed_430_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_430,outputs_lastflow/n100p500_input/simple/seed_430,42;102;115;128;292;304;330;364;431;472,-0.27520549297332764
simple,431,100,500,10,1.0,data/n100p500_input/simple/seed_431.csv,data/n100p500_input/simple/beta_true/seed_431_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_431,outputs_lastflow/n100p500_input/simple/seed_431,57;78;92;179;326;328;349;415;447;494,0.3510039448738098
simple,432,100,500,10,1.0,data/n100p500_input/simple/seed_432.csv,data/n100p500_input/simple/beta_true/seed_432_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_432,outputs_lastflow/n100p500_input/simple/seed_432,60;140;145;188;268;341;368;382;421;464,0.4731457829475403
simple,433,100,500,10,1.0,data/n100p500_input/simple/seed_433.csv,data/n100p500_input/simple/beta_true/seed_433_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_433,outputs_lastflow/n100p500_input/simple/seed_433,24;40;120;160;196;277;280;343;431;447,0.6404489874839783
simple,434,100,500,10,1.0,data/n100p500_input/simple/seed_434.csv,data/n100p500_input/simple/beta_true/seed_434_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_434,outputs_lastflow/n100p500_input/simple/seed_434,121;146;175;214;239;297;357;364;461;463,-0.20827427506446838
simple,435,100,500,10,1.0,data/n100p500_input/simple/seed_435.csv,data/n100p500_input/simple/beta_true/seed_435_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_435,outputs_lastflow/n100p500_input/simple/seed_435,30;53;77;141;239;322;360;371;440;499,0.5018192529678345
simple,436,100,500,10,1.0,data/n100p500_input/simple/seed_436.csv,data/n100p500_input/simple/beta_true/seed_436_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_436,outputs_lastflow/n100p500_input/simple/seed_436,2;12;208;227;270;308;359;368;435;476,0.2977021336555481
simple,437,100,500,10,1.0,data/n100p500_input/simple/seed_437.csv,data/n100p500_input/simple/beta_true/seed_437_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_437,outputs_lastflow/n100p500_input/simple/seed_437,61;79;82;142;172;282;284;307;434;470,-0.15275517106056213
simple,438,100,500,10,1.0,data/n100p500_input/simple/seed_438.csv,data/n100p500_input/simple/beta_true/seed_438_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_438,outputs_lastflow/n100p500_input/simple/seed_438,38;100;124;270;308;330;364;406;453;497,0.6716493368148804
simple,439,100,500,10,1.0,data/n100p500_input/simple/seed_439.csv,data/n100p500_input/simple/beta_true/seed_439_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_439,outputs_lastflow/n100p500_input/simple/seed_439,49;63;97;120;122;130;180;193;268;384,0.3079359829425812
simple,440,100,500,10,1.0,data/n100p500_input/simple/seed_440.csv,data/n100p500_input/simple/beta_true/seed_440_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_440,outputs_lastflow/n100p500_input/simple/seed_440,82;109;126;188;259;302;324;397;408;450,0.19716759026050568
simple,441,100,500,10,1.0,data/n100p500_input/simple/seed_441.csv,data/n100p500_input/simple/beta_true/seed_441_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_441,outputs_lastflow/n100p500_input/simple/seed_441,16;68;71;150;196;210;292;332;450;470,0.016544396057724953
simple,442,100,500,10,1.0,data/n100p500_input/simple/seed_442.csv,data/n100p500_input/simple/beta_true/seed_442_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_442,outputs_lastflow/n100p500_input/simple/seed_442,11;12;145;155;212;256;270;324;342;367,0.28257790207862854
simple,443,100,500,10,1.0,data/n100p500_input/simple/seed_443.csv,data/n100p500_input/simple/beta_true/seed_443_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_443,outputs_lastflow/n100p500_input/simple/seed_443,109;144;178;201;206;254;368;369;410;436,0.2930315136909485
simple,444,100,500,10,1.0,data/n100p500_input/simple/seed_444.csv,data/n100p500_input/simple/beta_true/seed_444_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_444,outputs_lastflow/n100p500_input/simple/seed_444,7;43;123;239;333;342;355;367;372;398,-0.21718430519104004
simple,445,100,500,10,1.0,data/n100p500_input/simple/seed_445.csv,data/n100p500_input/simple/beta_true/seed_445_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_445,outputs_lastflow/n100p500_input/simple/seed_445,48;104;237;247;256;297;315;360;388;394,0.1549663245677948
simple,446,100,500,10,1.0,data/n100p500_input/simple/seed_446.csv,data/n100p500_input/simple/beta_true/seed_446_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_446,outputs_lastflow/n100p500_input/simple/seed_446,77;154;201;205;228;271;318;386;425;492,-0.14208421111106873
simple,447,100,500,10,1.0,data/n100p500_input/simple/seed_447.csv,data/n100p500_input/simple/beta_true/seed_447_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_447,outputs_lastflow/n100p500_input/simple/seed_447,38;79;107;109;128;353;406;415;416;427,-0.4361889958381653
simple,448,100,500,10,1.0,data/n100p500_input/simple/seed_448.csv,data/n100p500_input/simple/beta_true/seed_448_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_448,outputs_lastflow/n100p500_input/simple/seed_448,123;158;197;283;325;359;390;391;396;416,-0.230089470744133
simple,449,100,500,10,1.0,data/n100p500_input/simple/seed_449.csv,data/n100p500_input/simple/beta_true/seed_449_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_449,outputs_lastflow/n100p500_input/simple/seed_449,18;29;34;35;54;85;128;217;222;470,-0.11532290279865265
simple,450,100,500,10,1.0,data/n100p500_input/simple/seed_450.csv,data/n100p500_input/simple/beta_true/seed_450_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_450,outputs_lastflow/n100p500_input/simple/seed_450,31;34;210;225;232;329;365;433;469;479,0.2657434046268463
simple,451,100,500,10,1.0,data/n100p500_input/simple/seed_451.csv,data/n100p500_input/simple/beta_true/seed_451_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_451,outputs_lastflow/n100p500_input/simple/seed_451,37;53;57;74;114;135;305;323;426;440,0.35084694623947144
simple,452,100,500,10,1.0,data/n100p500_input/simple/seed_452.csv,data/n100p500_input/simple/beta_true/seed_452_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_452,outputs_lastflow/n100p500_input/simple/seed_452,42;68;189;200;244;322;325;384;434;495,0.07452146708965302
simple,453,100,500,10,1.0,data/n100p500_input/simple/seed_453.csv,data/n100p500_input/simple/beta_true/seed_453_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_453,outputs_lastflow/n100p500_input/simple/seed_453,65;102;156;164;184;218;251;329;367;418,-0.415795236825943
simple,454,100,500,10,1.0,data/n100p500_input/simple/seed_454.csv,data/n100p500_input/simple/beta_true/seed_454_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_454,outputs_lastflow/n100p500_input/simple/seed_454,51;231;254;282;295;380;400;410;431;499,-0.24684640765190125
simple,455,100,500,10,1.0,data/n100p500_input/simple/seed_455.csv,data/n100p500_input/simple/beta_true/seed_455_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_455,outputs_lastflow/n100p500_input/simple/seed_455,15;16;79;92;145;251;338;369;384;390,0.6877027750015259
simple,456,100,500,10,1.0,data/n100p500_input/simple/seed_456.csv,data/n100p500_input/simple/beta_true/seed_456_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_456,outputs_lastflow/n100p500_input/simple/seed_456,25;38;97;124;130;254;334;335;338;376,-0.018712187185883522
simple,457,100,500,10,1.0,data/n100p500_input/simple/seed_457.csv,data/n100p500_input/simple/beta_true/seed_457_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_457,outputs_lastflow/n100p500_input/simple/seed_457,16;29;61;132;228;256;258;269;368;380,-0.3753708004951477
simple,458,100,500,10,1.0,data/n100p500_input/simple/seed_458.csv,data/n100p500_input/simple/beta_true/seed_458_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_458,outputs_lastflow/n100p500_input/simple/seed_458,36;48;232;255;269;333;341;357;458;471,-0.6126643419265747
simple,459,100,500,10,1.0,data/n100p500_input/simple/seed_459.csv,data/n100p500_input/simple/beta_true/seed_459_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_459,outputs_lastflow/n100p500_input/simple/seed_459,74;103;121;267;281;321;324;347;418;484,0.09612777084112167
simple,460,100,500,10,1.0,data/n100p500_input/simple/seed_460.csv,data/n100p500_input/simple/beta_true/seed_460_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_460,outputs_lastflow/n100p500_input/simple/seed_460,36;74;95;145;146;184;311;349;375;380,0.7238141298294067
simple,461,100,500,10,1.0,data/n100p500_input/simple/seed_461.csv,data/n100p500_input/simple/beta_true/seed_461_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_461,outputs_lastflow/n100p500_input/simple/seed_461,8;51;85;172;191;222;374;422;442;450,0.05068012326955795
simple,462,100,500,10,1.0,data/n100p500_input/simple/seed_462.csv,data/n100p500_input/simple/beta_true/seed_462_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_462,outputs_lastflow/n100p500_input/simple/seed_462,9;29;165;171;238;272;275;288;308;481,-0.3126363456249237
simple,463,100,500,10,1.0,data/n100p500_input/simple/seed_463.csv,data/n100p500_input/simple/beta_true/seed_463_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_463,outputs_lastflow/n100p500_input/simple/seed_463,4;6;40;97;124;132;175;325;335;340,0.16218526661396027
simple,464,100,500,10,1.0,data/n100p500_input/simple/seed_464.csv,data/n100p500_input/simple/beta_true/seed_464_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_464,outputs_lastflow/n100p500_input/simple/seed_464,83;106;179;198;267;320;401;422;478;491,0.30375415086746216
simple,465,100,500,10,1.0,data/n100p500_input/simple/seed_465.csv,data/n100p500_input/simple/beta_true/seed_465_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_465,outputs_lastflow/n100p500_input/simple/seed_465,20;32;88;124;217;224;263;349;418;426,0.6415277123451233
simple,466,100,500,10,1.0,data/n100p500_input/simple/seed_466.csv,data/n100p500_input/simple/beta_true/seed_466_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_466,outputs_lastflow/n100p500_input/simple/seed_466,2;49;58;74;218;275;346;414;434;455,-0.03226090595126152
simple,467,100,500,10,1.0,data/n100p500_input/simple/seed_467.csv,data/n100p500_input/simple/beta_true/seed_467_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_467,outputs_lastflow/n100p500_input/simple/seed_467,25;38;54;91;146;238;419;428;430;449,-0.526828408241272
simple,468,100,500,10,1.0,data/n100p500_input/simple/seed_468.csv,data/n100p500_input/simple/beta_true/seed_468_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_468,outputs_lastflow/n100p500_input/simple/seed_468,57;64;69;116;255;260;381;398;421;428,-0.15260234475135803
simple,469,100,500,10,1.0,data/n100p500_input/simple/seed_469.csv,data/n100p500_input/simple/beta_true/seed_469_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_469,outputs_lastflow/n100p500_input/simple/seed_469,37;146;182;231;238;379;395;432;456;490,-0.007917767390608788
simple,470,100,500,10,1.0,data/n100p500_input/simple/seed_470.csv,data/n100p500_input/simple/beta_true/seed_470_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_470,outputs_lastflow/n100p500_input/simple/seed_470,44;86;112;119;132;197;213;257;266;451,0.05796069651842117
simple,471,100,500,10,1.0,data/n100p500_input/simple/seed_471.csv,data/n100p500_input/simple/beta_true/seed_471_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_471,outputs_lastflow/n100p500_input/simple/seed_471,12;54;68;82;216;219;253;262;282;366,-0.03505221754312515
simple,472,100,500,10,1.0,data/n100p500_input/simple/seed_472.csv,data/n100p500_input/simple/beta_true/seed_472_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_472,outputs_lastflow/n100p500_input/simple/seed_472,6;45;113;134;163;225;282;317;389;395,0.02560206688940525
simple,473,100,500,10,1.0,data/n100p500_input/simple/seed_473.csv,data/n100p500_input/simple/beta_true/seed_473_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_473,outputs_lastflow/n100p500_input/simple/seed_473,26;183;255;260;261;311;348;373;441;445,-0.2827821671962738
simple,474,100,500,10,1.0,data/n100p500_input/simple/seed_474.csv,data/n100p500_input/simple/beta_true/seed_474_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_474,outputs_lastflow/n100p500_input/simple/seed_474,11;53;150;170;238;364;402;432;444;448,0.7060648202896118
simple,475,100,500,10,1.0,data/n100p500_input/simple/seed_475.csv,data/n100p500_input/simple/beta_true/seed_475_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_475,outputs_lastflow/n100p500_input/simple/seed_475,67;102;117;145;152;241;270;353;375;461,0.1528773009777069
simple,476,100,500,10,1.0,data/n100p500_input/simple/seed_476.csv,data/n100p500_input/simple/beta_true/seed_476_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_476,outputs_lastflow/n100p500_input/simple/seed_476,16;54;93;217;261;290;320;375;464;497,0.31226181983947754
simple,477,100,500,10,1.0,data/n100p500_input/simple/seed_477.csv,data/n100p500_input/simple/beta_true/seed_477_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_477,outputs_lastflow/n100p500_input/simple/seed_477,22;23;149;198;232;233;353;396;438;477,-0.7243694067001343
simple,478,100,500,10,1.0,data/n100p500_input/simple/seed_478.csv,data/n100p500_input/simple/beta_true/seed_478_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_478,outputs_lastflow/n100p500_input/simple/seed_478,26;134;152;300;328;376;378;431;447;469,-0.2906799614429474
simple,479,100,500,10,1.0,data/n100p500_input/simple/seed_479.csv,data/n100p500_input/simple/beta_true/seed_479_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_479,outputs_lastflow/n100p500_input/simple/seed_479,19;47;73;153;155;172;189;387;391;499,0.1840640753507614
simple,480,100,500,10,1.0,data/n100p500_input/simple/seed_480.csv,data/n100p500_input/simple/beta_true/seed_480_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_480,outputs_lastflow/n100p500_input/simple/seed_480,4;54;119;141;170;209;240;287;443;450,-0.8044098615646362
simple,481,100,500,10,1.0,data/n100p500_input/simple/seed_481.csv,data/n100p500_input/simple/beta_true/seed_481_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_481,outputs_lastflow/n100p500_input/simple/seed_481,83;113;134;149;173;289;344;359;360;489,0.0018260478973388672
simple,482,100,500,10,1.0,data/n100p500_input/simple/seed_482.csv,data/n100p500_input/simple/beta_true/seed_482_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_482,outputs_lastflow/n100p500_input/simple/seed_482,10;119;156;179;247;283;342;381;426;428,0.18972234427928925
simple,483,100,500,10,1.0,data/n100p500_input/simple/seed_483.csv,data/n100p500_input/simple/beta_true/seed_483_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_483,outputs_lastflow/n100p500_input/simple/seed_483,27;37;91;103;107;109;202;211;308;400,-0.37917348742485046
simple,484,100,500,10,1.0,data/n100p500_input/simple/seed_484.csv,data/n100p500_input/simple/beta_true/seed_484_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_484,outputs_lastflow/n100p500_input/simple/seed_484,10;43;55;69;84;152;315;373;387;492,0.16712237894535065
simple,485,100,500,10,1.0,data/n100p500_input/simple/seed_485.csv,data/n100p500_input/simple/beta_true/seed_485_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_485,outputs_lastflow/n100p500_input/simple/seed_485,70;153;200;239;278;342;362;364;444;453,0.5980450510978699
simple,486,100,500,10,1.0,data/n100p500_input/simple/seed_486.csv,data/n100p500_input/simple/beta_true/seed_486_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_486,outputs_lastflow/n100p500_input/simple/seed_486,3;27;216;234;281;314;317;373;380;406,0.3553639054298401
simple,487,100,500,10,1.0,data/n100p500_input/simple/seed_487.csv,data/n100p500_input/simple/beta_true/seed_487_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_487,outputs_lastflow/n100p500_input/simple/seed_487,15;37;86;182;213;295;299;307;365;380,0.0829697847366333
simple,488,100,500,10,1.0,data/n100p500_input/simple/seed_488.csv,data/n100p500_input/simple/beta_true/seed_488_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_488,outputs_lastflow/n100p500_input/simple/seed_488,14;15;28;66;216;225;246;253;302;391,0.5196849703788757
simple,489,100,500,10,1.0,data/n100p500_input/simple/seed_489.csv,data/n100p500_input/simple/beta_true/seed_489_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_489,outputs_lastflow/n100p500_input/simple/seed_489,147;155;179;208;221;347;372;408;423;431,0.006308603100478649
simple,490,100,500,10,1.0,data/n100p500_input/simple/seed_490.csv,data/n100p500_input/simple/beta_true/seed_490_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_490,outputs_lastflow/n100p500_input/simple/seed_490,7;47;117;121;175;224;343;359;369;392,0.2521477937698364
simple,491,100,500,10,1.0,data/n100p500_input/simple/seed_491.csv,data/n100p500_input/simple/beta_true/seed_491_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_491,outputs_lastflow/n100p500_input/simple/seed_491,259;355;390;421;424;434;437;455;463;499,0.18088164925575256
simple,492,100,500,10,1.0,data/n100p500_input/simple/seed_492.csv,data/n100p500_input/simple/beta_true/seed_492_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_492,outputs_lastflow/n100p500_input/simple/seed_492,29;140;191;284;339;385;450;455;473;490,0.5877680778503418
simple,493,100,500,10,1.0,data/n100p500_input/simple/seed_493.csv,data/n100p500_input/simple/beta_true/seed_493_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_493,outputs_lastflow/n100p500_input/simple/seed_493,99;108;205;256;288;357;377;378;398;486,-0.5400822758674622
simple,494,100,500,10,1.0,data/n100p500_input/simple/seed_494.csv,data/n100p500_input/simple/beta_true/seed_494_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_494,outputs_lastflow/n100p500_input/simple/seed_494,13;25;169;196;254;278;303;314;393;395,-0.048588573932647705
simple,495,100,500,10,1.0,data/n100p500_input/simple/seed_495.csv,data/n100p500_input/simple/beta_true/seed_495_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_495,outputs_lastflow/n100p500_input/simple/seed_495,143;185;195;235;259;302;313;318;462;488,0.2767189145088196
simple,496,100,500,10,1.0,data/n100p500_input/simple/seed_496.csv,data/n100p500_input/simple/beta_true/seed_496_beta_true.csv,outputs_mcmc/n100p500_input/simple/seed_496,outputs_lastflow/n100p500_input/simple/seed_496,41;86;153;155;161;169;202;283;317;332,-0.06549881398677826
