Experiment,Configuration,Structure,Gate,Transport,Conditioner,Architecture,Reference,Active SKL,Zero JS,Joint SKL,PIP RMSE truth,PIP RMSE reference,Signal MSE,Signal R2,Expected structure density,Train time (s),MCMC reliable,Archive note
Gate ablation,relu vs matched,unit_group,relu,affine,full_attention,shallow stacked,matched,0.4424333729389925,0.1678996491908746,1.1003355151898122,0.2834936471951356,0.3825699831403399,0.0988824591040611,0.9604509472846984,,270.33908629999496,,Early shallow screening; single-chain reference.
Bounded transport,feature_group | smooth_step | spline,feature_group,smooth_step,spline,improved_separate_attention,shallow stacked,matched MCMC,0.2644335516752498,0.0083846476141147,0.5384485804493322,0.0850879544941585,0.0756347638325128,0.0278720036149024,0.9903711080551147,,217.40556760004256,True,Four-chain p=6 benchmark; strongest legacy posterior comparison.
Bounded transport,unit_group | normalized_requ | affine,unit_group,normalized_requ,affine,improved_separate_attention,shallow stacked,matched MCMC,1.4309809436154088,0.1572508159408217,2.93159265908929,,,0.0606400221586227,0.9790507555007936,,217.61243820004165,True,Four-chain p=6 benchmark; strongest legacy posterior comparison.
Bounded transport,unit_group | normalized_requ | spline,unit_group,normalized_requ,spline,improved_separate_attention,shallow stacked,matched MCMC,0.6770132870550418,0.0853049220109407,1.4362821870258258,,,0.0617616958916187,0.9786632657051086,,310.3680554999737,True,Four-chain p=6 benchmark; strongest legacy posterior comparison.
Bounded transport,unit_group | smooth_step | affine,unit_group,smooth_step,affine,improved_separate_attention,shallow stacked,matched MCMC,1.3689751668926555,0.1104246967382249,3.609269788786273,,,0.0578536801040172,0.9800133109092712,,222.3215812999988,True,Four-chain p=6 benchmark; strongest legacy posterior comparison.
Bounded transport,unit_group | smooth_step | spline,unit_group,smooth_step,spline,improved_separate_attention,shallow stacked,matched MCMC,2.0297445926767907,0.0518424232516945,4.075725630054511,,,0.079274758696556,0.9726130366325378,,329.18860879994463,True,Four-chain p=6 benchmark; strongest legacy posterior comparison.
MLP structure ablation,stage1__embed_output__edge_group__normalized_requ__h5x5,edge_group,normalized_requ,spline,improved_separate_attention,embed_output,MCMC (legacy only),5.560337210109996,0.0333099101656033,11.48324808170122,,,2.9410560131073,,0.1430666595697403,1312.0938740998972,False,MLP MCMC structural metrics are not scientifically interpreted; retain function/sparsity ablation only.
MLP structure ablation,stage1__embed_output__feature_group__normalized_requ__h5x5,feature_group,normalized_requ,spline,improved_separate_attention,embed_output,MCMC (legacy only),0.0060042158105751,0.0057688405973674,0.0591747967016534,,,2.961785316467285,,0.2336333394050598,932.14701649989,False,MLP MCMC structural metrics are not scientifically interpreted; retain function/sparsity ablation only.
MLP structure ablation,stage1__embed_output__feature_unit_induced_edge__normalized_requ__h5x5,feature_unit_induced_edge,normalized_requ,spline,improved_separate_attention,embed_output,MCMC (legacy only),0.3267206932088947,0.0035654579606673,2.916294805635005,,,0.7771368622779846,,0.2885395884513855,956.2942926001268,False,MLP MCMC structural metrics are not scientifically interpreted; retain function/sparsity ablation only.
MLP structure ablation,stage1__stacked__edge_group__normalized_requ__h5x5,edge_group,normalized_requ,spline,improved_separate_attention,stacked,MCMC (legacy only),1.698175690505082,0.0360858519576276,2.295114297112232,,,0.1728839427232742,,0.4157933294773102,382.0464602999855,False,MLP MCMC structural metrics are not scientifically interpreted; retain function/sparsity ablation only.
MLP structure ablation,stage1__stacked__feature_group__normalized_requ__h5x5,feature_group,normalized_requ,spline,improved_separate_attention,stacked,MCMC (legacy only),0.947053201238835,0.0016239524018782,2.408178138579582,,,0.0743778869509697,,0.454233318567276,261.8581568999216,False,MLP MCMC structural metrics are not scientifically interpreted; retain function/sparsity ablation only.
MLP structure ablation,stage1__stacked__feature_unit_induced_edge__normalized_requ__h5x5,feature_unit_induced_edge,normalized_requ,spline,improved_separate_attention,stacked,MCMC (legacy only),6.175231214759391,0.0198796169020729,1.9338275112065968,,,0.0425364710390567,,0.2388433367013931,306.57611899997573,False,MLP MCMC structural metrics are not scientifically interpreted; retain function/sparsity ablation only.
